district_code,district,score_UMC,rank_UMC,quintile_group
11070,중랑구,0.283,25,1
11100,도봉구,0.331,24,1
11090,강북구,0.387,23,1
11060,동대문구,0.388,22,1
11110,노원구,0.389,21,1
11170,구로구,0.392,20,2
11080,성북구,0.432,19,2
11250,강동구,0.438,18,2
11230,강남구,0.441,17,2
11180,금천구,0.463,16,2
11150,양천구,0.468,15,3
11160,강서구,0.475,14,3
11040,성동구,0.493,13,3
11210,관악구,0.514,12,3
11120,은평구,0.518,11,3
11050,광진구,0.519,10,4
11200,동작구,0.542,9,4
11240,송파구,0.568,7,4
11020,중구,0.568,8,4
11030,용산구,0.584,6,4
11130,서대문구,0.607,5,5
11010,종로구,0.627,4,5
11190,영등포구,0.643,3,5
11140,마포구,0.666,2,5
11220,서초구,0.714,1,5
